lake,learner,k,rep,label_only_log_mae,calibrated_log_mae,source_only_log_mae,paired_delta_mae,rer_log,rer_reconstruction_denominator,reconstructed_rer
Lake Jasień Południowy,XGBoost,3,73,0.18173397584545856,0.1342119126163488,,0.04752206322910976,0.2614924391165954,0.7385075608834046,0.2614924391165953
Lake Jasień Południowy,MLP,3,73,0.1817339758454587,0.1379703935699785,,0.04376358227548019,0.2408112168556928,0.7591887831443072,0.24081121685569298
Lake Jasień Południowy,PLSR,5,73,0.18841174325484147,0.1897592983705218,,-0.0013475551156803267,-0.0071521818166919,1.007152181816692,-0.0071521818166919455
Lake Jasień Południowy,XGBoost,5,73,0.18841174325484153,0.1332186499413026,,0.055193093313538916,0.292938696021187,0.707061303978813,0.292938696021187
Lake Jasień Południowy,MLP,5,73,0.1884117432548415,0.1271972044705991,,0.061214538784242406,0.3248976654945989,0.675102334505401,0.3248976654945989
Lake Jasień Południowy,PLSR,10,73,0.16723784123636745,0.1448115913249578,,0.02242624991140965,0.13409793145281,0.86590206854719,0.13409793145281007
Lake Jasień Południowy,XGBoost,10,73,0.16723784123636745,0.1196817240052852,,0.047556117231082246,0.2843621637058006,0.7156378362941994,0.2843621637058006
Lake Jasień Południowy,MLP,10,73,0.1672378412363675,0.114131262931487,,0.05310657830488051,0.317551187797921,0.682448812202079,0.317551187797921
Lake Jasień Południowy,PLSR,1,74,0.19274618947855324,0.1785403329761193,,0.014205856502433944,0.0737023948636385,0.9262976051363615,0.0737023948636384
Lake Jasień Południowy,XGBoost,1,74,0.19274618947855326,0.1251265209661033,,0.06761966851244997,0.3508223181333024,0.6491776818666977,0.35082231813330234
Lake Jasień Południowy,MLP,1,74,0.19274618947855315,0.1261823959133733,,0.06656379356517986,0.3453442596806502,0.6546557403193498,0.3453442596806502
Lake Jasień Południowy,PLSR,3,74,0.17652753307060065,0.1774795989769143,,-0.0009520659063136372,-0.0053932994803698,1.0053932994803698,-0.005393299480369852
Lake Jasień Południowy,XGBoost,3,74,0.17652753307060068,0.1216200734932791,,0.054907459577321585,0.3110418840155829,0.6889581159844171,0.31104188401558286
Lake Jasień Południowy,MLP,3,74,0.17652753307060068,0.1317237451125821,,0.044803787958018565,0.2538062173113669,0.7461937826886331,0.25380621731136693
Lake Jasień Południowy,PLSR,5,74,0.20961616703288397,0.1985518749301906,,0.011064292102693357,0.0527835792986416,0.9472164207013584,0.05278357929864175
Lake Jasień Południowy,XGBoost,5,74,0.20961616703288394,0.1376673714538269,,0.07194879557905703,0.3432406629941063,0.6567593370058937,0.34324066299410627
Lake Jasień Południowy,MLP,5,74,0.2096161670328839,0.1217835757927197,,0.08783259124016421,0.4190162824426729,0.5809837175573271,0.4190162824426729
Lake Jasień Południowy,PLSR,10,74,0.23998051163185918,0.1631679606053765,,0.07681255102648268,0.3200782734538621,0.6799217265461379,0.3200782734538621
Lake Jasień Południowy,XGBoost,10,74,0.2399805116318591,0.1086533503004166,,0.1313271613314425,0.5472409195480634,0.4527590804519366,0.5472409195480635
Lake Jasień Południowy,MLP,10,74,0.23998051163185924,0.1254887526493887,,0.11449175898247055,0.4770877161360036,0.5229122838639964,0.4770877161360037
