lake,learner,k,variant,delta_spearman_lake,delta_r2_log_lake,mae_log_lake,rer_log_lake,delta_spearman_lake_altmean,delta_r2_log_lake_altmean
Chaohu,MLP,10,source_only,0.0,0.0,0.1547046775560601,0.4154301293632468,0.0,0.0
Chaohu,PLSR,5,affine_only,0.0,-0.0037153278052502,0.18069442619292841,0.36967483901614945,0.0,-0.010972699171630304
Chaohu,PLSR,5,full,-0.04277304745494945,-0.0632429222751382,0.1981734120454462,0.2877843355846974,-0.08767891534400515,-0.23389409854482893
Chaohu,PLSR,5,full_minus_affine,-0.0353983841006477,-0.06433953309415524,0.19979275033325433,0.27514586237480076,-0.0905040670792544,-0.24062245460547974
Chaohu,PLSR,5,full_minus_repr0,0.0,-0.0037153278052502,0.18069442619292841,0.36967483901614945,0.0,-0.010972699171630304
Chaohu,PLSR,5,intercept_only,0.0,0.0,0.1803611617231732,0.37163924637987766,0.0,-9.860761315262648e-34
Chaohu,PLSR,5,repr_only,-0.0353983841006477,-0.06433953309415524,0.19979275033325433,0.27514586237480076,-0.0905040670792544,-0.24062245460547974
Chaohu,PLSR,5,source_only,0.0,0.0,0.17316432331856485,0.3882864693386699,0.0,0.0
Chaohu,PLSR,10,affine_only,0.0,-0.0030607716598225502,0.1846863033661004,0.3625150179480407,0.0,-0.012685275508322425
Chaohu,PLSR,10,full,-0.04090909090909095,-0.0883876834773153,0.21514598230683107,0.21478085789279683,-0.09870776555859619,-0.293824848184832
Chaohu,PLSR,10,full_minus_affine,-0.04096092056072835,-0.0820110161626404,0.2158123098084343,0.2169385665921354,-0.09588211165548666,-0.2860598446451501
Chaohu,PLSR,10,full_minus_repr0,0.0,-0.03413301691133615,0.18963336732752256,0.3125626071537453,-0.01328827525354865,-0.07817617334852427
Chaohu,PLSR,10,full_minus_repr1,-0.0227791023789102,-0.04758829717736405,0.20623209515475877,0.2560411003946082,-0.06874659607487237,-0.14350659526973483
Chaohu,PLSR,10,intercept_only,0.0,0.0,0.18247327347524928,0.37942004692011777,0.0,1.7763568394002505e-17
Chaohu,PLSR,10,repr_only,-0.04096092056072835,-0.0820110161626404,0.2158123098084343,0.2169385665921354,-0.09588211165548666,-0.2860598446451501
Chaohu,PLSR,10,source_only,0.0,0.0,0.1767467075890041,0.37784906032811716,0.0,0.0
Chaohu,XGBoost,5,affine_only,0.0,0.00385250621962355,0.19438145306173432,0.33502513484070773,0.0,0.0029136285560829476
Chaohu,XGBoost,5,full,-0.0596679036746009,-0.02413113510452185,0.2052583937646339,0.26988727755483055,-0.09558323602290515,-0.2110683768681904
Chaohu,XGBoost,5,full_minus_affine,-0.0559648972169344,-0.02288004057315835,0.20408504017110451,0.26953696482896594,-0.09758568738906981,-0.20800119385259397
Chaohu,XGBoost,5,full_minus_repr0,0.0,0.00385250621962355,0.19438145306173432,0.33502513484070773,0.0,0.0029136285560829476
Chaohu,XGBoost,5,intercept_only,0.0,0.0,0.1923937169213669,0.3369752934437563,0.0,-1.0192880928183715e-09
Chaohu,XGBoost,5,repr_only,-0.0559648972169344,-0.02288004057315835,0.20408504017110451,0.26953696482896594,-0.09758568738906981,-0.20800119385259397
Chaohu,XGBoost,5,source_only,0.0,0.0,0.1633835670655704,0.4162673747994242,0.0,0.0
Chaohu,XGBoost,10,affine_only,0.0,0.006611545327078749,0.1775822175683407,0.36068379610071455,0.0,0.004254767049671703
Chaohu,XGBoost,10,full,-0.040950554630400954,-0.0703175536252823,0.21754255039619141,0.2285739796036614,-0.04943648895971393,-0.21591248456164608
Chaohu,XGBoost,10,full_minus_affine,-0.036446563806256355,-0.072957327186918,0.2187431129040626,0.23015308225430386,-0.043785112232759625,-0.21913526382054102
Chaohu,XGBoost,10,full_minus_repr0,0.0,-0.00897092559676655,0.20440708154617382,0.2834831567097046,-0.01442271390968029,-0.11739236968991394
Chaohu,XGBoost,10,full_minus_repr1,-0.0365312142672575,-0.00903088284585405,0.19779869944064354,0.3092915613040196,-0.060923332485020854,-0.04893288621701066
Chaohu,XGBoost,10,intercept_only,0.0,0.0,0.1793206706909703,0.35787099798744326,0.0,3.828228383184751e-09
Chaohu,XGBoost,10,repr_only,-0.036446563806256355,-0.072957327186918,0.2187431129040626,0.23015308225430386,-0.043785112232759625,-0.21913526382054102
Chaohu,XGBoost,10,source_only,0.0,0.0,0.15966789567379908,0.40650628055403637,0.0,0.0
Dianchi,MLP,5,affine_only,0.0,6.58468449340848,0.25330490628264085,-1.3521253501200432,0.0,6.338857470933013
Dianchi,MLP,5,full,-0.3028726430022995,11.976339508951867,0.1808056175168712,-0.684483525974247,-0.29706576695210607,7.7286283099471556
Dianchi,MLP,5,full_minus_affine,-0.3013628563569166,11.834599875887807,0.18967492906466904,-0.7382398805392953,-0.29838021749785537,7.430982933571065
Dianchi,MLP,5,full_minus_repr0,0.0,6.58468449340848,0.25330490628264085,-1.3521253501200432,0.0,6.338857470933013
Dianchi,MLP,5,intercept_only,0.0,0.0,0.3494247475177056,-2.232048173161746,0.0,-3.552713678800508e-17
Dianchi,MLP,5,repr_only,-0.3013628563569166,11.834599875887807,0.18967492906466904,-0.7382398805392953,-0.29838021749785537,7.430982933571065
Dianchi,MLP,5,source_only,0.0,0.0,0.5236736697181783,-3.7970180438140324,0.0,0.0
Dianchi,MLP,10,affine_only,0.0,11.2235489005079,0.16524984486564695,-0.48991610144923226,0.0,10.3095316626736
Dianchi,MLP,10,full,0.14995248304706787,13.168151707780346,0.14115957997606135,-0.3345320516208077,0.07438833624439427,12.532513431912326
Dianchi,MLP,10,full_minus_affine,0.13359782156522054,13.025389376484092,0.1481514227582796,-0.4184168461263511,0.057943889584968905,12.330047719803968
Dianchi,MLP,10,full_minus_repr0,0.32833550771349884,12.006278863132344,0.17319207836843956,-0.5823482096141459,0.31514044163479904,11.132828542506031
Dianchi,MLP,10,full_minus_repr1,-0.33444850221137634,12.96006423093986,0.16392545619397245,-0.5242288181726666,-0.34202884938395944,11.620840121440056
Dianchi,MLP,10,intercept_only,0.0,0.0,0.3444967397377901,-2.276100807986949,0.0,-2.842170943040401e-16
Dianchi,MLP,10,repr_only,0.13359782156522054,13.025389376484092,0.1481514227582796,-0.4184168461263511,0.057943889584968905,12.330047719803968
