lake,learner,k,rep,method,mae_log,mae_orig,rer_log,demeaned_spearman,anomaly_r2
Lake Erie,MLP,1,3,calibrated,0.4344193780633373,57.39172955750114,0.0614616744277558,0.8059645973555787,-4259.557994401311
Lake Erie,PLSR,3,3,calibrated,0.3598162058766538,476.25645515955057,-0.1090693750512744,0.7311864883928954,-138112.5336554815
Lake Erie,XGBoost,3,3,calibrated,0.2171873514612292,6.966234135626732,0.3305586557349216,0.7846163925128397,0.1146611767369742
Lake Erie,MLP,3,3,calibrated,0.2102348245352922,259.12959662548053,0.3519885812150433,0.8041797392662341,-96315.38611129412
Lake Erie,PLSR,5,3,calibrated,0.334716566094887,19.14729960362658,0.1228993750924012,0.5618417031580876,-139.5403601165692
Lake Erie,XGBoost,5,3,calibrated,0.2750916433481336,7.350884855217742,0.2791421809055775,0.6836028785569804,0.2036054239856882
Lake Erie,MLP,5,3,calibrated,0.2383054146888035,91.0690167941086,0.3755378375579256,0.7957524326790125,-12376.426978717009
Lake Erie,PLSR,10,3,calibrated,0.365451221745325,872.8769821545415,-0.1195355378891378,0.7990071663147639,-369818.58426547074
Lake Erie,XGBoost,10,3,calibrated,0.2498064183656037,558.939000712344,0.2347346243360196,0.8528618216404797,-216755.99364032949
Lake Erie,MLP,10,3,calibrated,0.2222947128188561,613.7542442141106,0.319014904143613,0.835805944009568,-278095.5792749438
Lake Erie,PLSR,0,4,source_only,0.3504768844752889,349.0965960752518,,0.7310627688327969,-102358.1691629412
Lake Erie,XGBoost,0,4,source_only,0.2554247538293229,8.964091586523432,,0.7840159118481286,-0.3901008329597644
Lake Erie,MLP,0,4,source_only,0.245653023027792,189.2269081761513,,0.8051405015429922,-58335.217701922746
Lake Erie,PLSR,1,4,calibrated,0.5155705937375166,478.4227601988432,0.3409076922693484,0.7306407644584123,-128043.7389813966
Lake Erie,XGBoost,1,4,calibrated,0.4885253451034492,23.649801493450408,0.3754816482050747,0.7835342194920446,-4.6371034005838565
Lake Erie,MLP,1,4,calibrated,0.3942411297855779,255.6330398368632,0.4960121838988178,0.8045016500354469,-95814.7135062895
Lake Erie,PLSR,3,4,calibrated,0.41069538267117,427.25500769996967,-0.1072028589068133,0.7318632632870641,-116223.02616722375
Lake Erie,XGBoost,3,4,calibrated,0.2470196417293713,8.802311338004717,0.3340542175989099,0.78498059986113,-0.4419971803241864
Lake Erie,MLP,3,4,calibrated,0.2246285454693138,207.4833953658693,0.3944188728533772,0.8055557279841931,-71610.18610057552
Lake Erie,PLSR,5,4,calibrated,0.2897769273968897,13.008808130547928,0.1382349220201527,0.4704949312816053,-47.21419815921514
Lake Erie,XGBoost,5,4,calibrated,0.224005943764379,8.58744169297119,0.3338306700739461,0.7583724138938069,-0.8629509247789569
Lake Erie,MLP,5,4,calibrated,0.2220521591562076,271.44564236032846,0.339641012885702,0.793714868889453,-97121.2731526422
Lake Erie,PLSR,10,4,calibrated,0.2633014063339993,9.06334503558167,0.1808788115521455,0.6840465006881983,-3.9569759393326183
Lake Erie,XGBoost,10,4,calibrated,0.1956662381338139,48.23732178244193,0.3912893749603172,0.8544415299613572,-2355.4952708427973
Lake Erie,MLP,10,4,calibrated,0.2027907487292981,620.3881593370286,0.3691252800331574,0.8621741491016006,-277369.6642037274
Lake Erie,PLSR,0,5,source_only,0.3504768844752889,349.0965960752518,,0.7310627688327969,-102358.1691629412
Lake Erie,XGBoost,0,5,source_only,0.2554247538293229,8.964091586523432,,0.7840159118481286,-0.3901008329597644
Lake Erie,MLP,0,5,source_only,0.245653023027792,189.2269081761513,,0.8051405015429922,-58335.217701922746
Lake Erie,PLSR,1,5,calibrated,0.7300336760079229,82.26407381878931,0.3789170381671034,0.7295791926288671,-7772.469636110023
Lake Erie,XGBoost,1,5,calibrated,0.3840201757473558,8.589480639535482,0.6732912481452283,0.7828073481102561,0.3036003347447132
Lake Erie,MLP,1,5,calibrated,0.3564108292597819,68.43348650580634,0.6967801569715355,0.8040374144990208,-6540.572028408084
Lake Erie,PLSR,3,5,calibrated,0.4476496490874564,567.227106448222,-0.3999624678972868,0.7327339734837002,-162319.91937346934
Lake Erie,XGBoost,3,5,calibrated,0.2385829392128617,9.038289646289623,0.2538647855576795,0.7834276037804532,-0.8169885158246284
Lake Erie,MLP,3,5,calibrated,0.2090434529604446,189.82043545114635,0.3462454480575754,0.8048498786427561,-60182.33861665679
Lake Erie,PLSR,5,5,calibrated,0.281639826100486,13.386498942637182,0.1225905694482734,0.5504726175745022,-58.47708160014936
Lake Erie,XGBoost,5,5,calibrated,0.1990929602836699,6.121208278514768,0.3797537589067457,0.8141184339020031,0.3270754208607254
Lake Erie,MLP,5,5,calibrated,0.2037555764403855,87.65776234772741,0.3652280318519783,0.8061091451482539,-11546.02424679078
Lake Erie,PLSR,10,5,calibrated,0.2666986618108793,8.076771005237518,0.1768299235481436,0.6821734297359999,-0.605821393555158
