lake,learner,k,variant,mae_log_median,rer_log_median,spearman_median,source_spearman_median,delta_spearman_median,delta_spearman_mean,delta_r2_log_median,delta_r2_log_mean
Eagle Creek Reservoir,MLP,5,full_minus_repr0,0.11741508176634205,0.2527383776421954,0.7293247351129168,0.7293247351129168,0.0,0.0,0.01103432825536621,0.009443407657934487
Eagle Creek Reservoir,MLP,5,intercept_only,0.11780805320994431,0.24955261123548692,0.7293247351129168,0.7293247351129168,0.0,0.0,0.0,4.440892098500626e-18
Eagle Creek Reservoir,MLP,5,repr_only,0.13392121820753386,0.17308245393325117,0.6908532669829449,0.7293247351129168,-0.030448207475420264,-0.06898385831357035,-0.10934412116111741,-0.34249540640632664
Eagle Creek Reservoir,MLP,5,source_only,0.11069980054945838,0.2870880878471025,0.7293247351129168,0.7293247351129168,0.0,0.0,0.0,0.0
Eagle Creek Reservoir,MLP,10,affine_only,0.11203449637308907,0.28111490063893485,0.7306150583418541,0.7306150583418541,0.0,0.0,0.027533687444796617,0.02223993386878977
Eagle Creek Reservoir,MLP,10,full,0.12276879028540635,0.19444634360308755,0.7536434993161258,0.7306150583418541,0.01799166580470285,-0.013369831138913617,-0.06870579562405932,-0.11777656837139285
Eagle Creek Reservoir,MLP,10,full_minus_affine,0.12851043133932666,0.16447252127392956,0.738978561400425,0.7306150583418541,0.006117910943260529,-0.028724713272114132,-0.13143155237825882,-0.17922039535098214
Eagle Creek Reservoir,MLP,10,full_minus_repr0,0.11369808011428965,0.2679162644142088,0.7671823926370538,0.7306150583418541,0.04499339042724687,0.0010551492715173561,0.009910710078069873,-0.029276995175219048
Eagle Creek Reservoir,MLP,10,full_minus_repr1,0.1198021491068385,0.22860941302054985,0.6981880307259449,0.7306150583418541,-0.023298288822450053,-0.03220565414986057,-0.024674582121595012,-0.07526988862026544
Eagle Creek Reservoir,MLP,10,intercept_only,0.11442928018338538,0.25900706679900926,0.7306150583418541,0.7306150583418541,0.0,0.0,0.0,6.661338147750939e-18
Eagle Creek Reservoir,MLP,10,repr_only,0.12851043133932666,0.16447252127392956,0.738978561400425,0.7306150583418541,0.006117910943260529,-0.028724713272114132,-0.13143155237825882,-0.17922039535098214
Eagle Creek Reservoir,MLP,10,source_only,0.11085833026155639,0.2866373211268377,0.7306150583418541,0.7306150583418541,0.0,0.0,0.0,0.0
Eagle Creek Reservoir,PLSR,5,affine_only,0.1617553688756882,-0.02398207578444202,0.5359695477315087,0.5359695477315087,0.0,0.0,0.0721974584661127,0.06984353187208589
Eagle Creek Reservoir,PLSR,5,full,0.1415027884647131,0.11619345826313729,0.5924568928119567,0.5359695477315087,0.06206946429389476,0.02672118534902918,0.34460119064106,0.15327631186297044
Eagle Creek Reservoir,PLSR,5,full_minus_affine,0.1408800627922816,0.11302458010239344,0.5927994623985101,0.5359695477315087,0.06166854184615672,0.025857502767040942,0.3377980340675431,0.15392202433211102
Eagle Creek Reservoir,PLSR,5,full_minus_repr0,0.1617553688756882,-0.02398207578444202,0.5359695477315087,0.5359695477315087,0.0,0.0,0.0721974584661127,0.06984353187208589
