lake,learner,k,calibrated_spearman,source_spearman,delta_spearman,calibrated_anomaly_r2_logspace,source_anomaly_r2_logspace,delta_anomaly_r2_logspace,delta_anomaly_r2_origspace
High Rock Lake,PLSR,3,0.6223658242180802,0.6223658242180802,0.0,-0.3561247231913126,-0.9244419758250312,0.6301124463945338,2688.2499814785187
High Rock Lake,PLSR,5,0.6287186425651243,0.6225112606378703,0.011917152876065151,0.43231591548407783,-0.918608267441377,1.3495177906296179,2861.101362271467
High Rock Lake,PLSR,10,0.6107643078896456,0.6252882811928129,-0.004535611384704263,0.3120519651253507,-0.92917033411578,1.1923855160977845,2881.7531693910364
High Rock Lake,XGBoost,1,0.615569767338034,0.615569767338034,0.0,0.34410569321148105,0.34410569321148105,-9.121474686679676e-10,7.614722168227983
High Rock Lake,XGBoost,3,0.614164565723436,0.614164565723436,0.0,0.39166402828605307,0.34518898079955224,0.04704212282996645,11.406761428844888
High Rock Lake,XGBoost,5,0.6033464518902354,0.6120453070386616,-0.0005677697812497828,0.45885880335182017,0.34335820005466827,0.12870272404580108,13.631575726584963
High Rock Lake,XGBoost,10,0.5897428726683118,0.6103009341263144,-0.010166148660839425,0.33223374045750315,0.3491926272100646,-0.041419170924682724,12.749344768571651
Ibitinga Reservoir,MLP,1,0.7436250589350255,0.7436250589350255,0.0,0.7190107333992037,0.7190107333992037,0.0,-0.32601932027254765
Ibitinga Reservoir,MLP,3,0.7455996965954108,0.7455996965954108,0.0,0.7218421525665696,0.7182154460871331,0.004761653426195056,-0.24724546652586832
Ibitinga Reservoir,MLP,5,0.6975537648088926,0.7493823883068251,-0.023968372365023916,0.7063927555631505,0.727487150214734,0.011596673132049484,-0.05532527309815066
Ibitinga Reservoir,MLP,10,0.7623230819087345,0.7355375825687381,0.024264329511295313,0.6509613859560295,0.7103284665020639,-0.02283767719938723,-0.4149678012165786
Ibitinga Reservoir,PLSR,1,0.5664987615295574,0.5664987615295574,0.0,0.6042775801618754,0.6042775801618755,0.0,-0.14937158833433173
Ibitinga Reservoir,PLSR,3,0.5703291310061581,0.5703291310061581,0.0,0.6176857973761256,0.6090209630651662,0.011889228978547106,-0.11058218121058894
Ibitinga Reservoir,PLSR,5,0.4796737444743345,0.5749227788725919,-0.06820709879857356,0.5803807226479127,0.6178978642594373,0.0322446917292496,-0.7421345585262933
Ibitinga Reservoir,PLSR,10,0.6780272399717058,0.5442811369791074,0.12754988754740948,0.31650363541735743,0.5939766453751847,-0.24238927845314112,-199.43589919196125
Ibitinga Reservoir,XGBoost,1,0.6974046126638135,0.6974046126638135,0.0,0.6146918228522146,0.6146918622099893,0.0,-0.20441649698512065
Ibitinga Reservoir,XGBoost,3,0.6930256939317891,0.6930256939317891,0.0,0.6235562436456288,0.6145375333535805,0.010401987084761588,-0.16816073287710243
Ibitinga Reservoir,XGBoost,5,0.603140153250344,0.6863569813905684,-0.08353930827848915,0.6850374343930334,0.6190927162482771,0.05943366888718937,0.014625342609010494
Ibitinga Reservoir,XGBoost,10,0.7503229140317962,0.6623645694253623,0.07900868557773577,0.7225919938096836,0.6147669174507229,0.09425267250851277,-1.057015727559774
Lake Chotkowskie,MLP,1,0.9181818181818181,0.9181818181818181,0.0,0.7078820632835723,0.7078820632835723,0.0,-0.07774815004776259
Lake Chotkowskie,MLP,3,0.9149122807017543,0.9149122807017543,0.0,0.715238886554122,0.7059895472306531,0.009305813447745281,-0.05308834293943726
Lake Chotkowskie,MLP,5,0.9056372549019609,0.911764705882353,-0.003676470588235281,0.7094786900258888,0.7109573527400812,0.03223833861930159,-0.18690081004217712
