lake,learner,k,rep,calibrated_spearman,source_spearman,delta_spearman,calibrated_anomaly_r2_origspace,source_anomaly_r2_origspace,delta_anomaly_r2_origspace,calibrated_anomaly_r2_logspace,source_anomaly_r2_logspace,delta_anomaly_r2_logspace
Lake Erie,MLP,5,6,0.773338100974665,0.8053285002995296,-0.03199039932486458,-115550.85074499389,-58453.57425808015,-57097.27648691374,-0.16678737899415585,0.37655084828536345,-0.5433382272795193
Lake Erie,PLSR,10,6,0.5787212065253231,0.7282815217368984,-0.1495603152115753,-288460.65295517736,-106008.21446511878,-182452.4384900586,-1.199583955784926,-0.5241532974539098,-0.6754306583310161
Lake Erie,XGBoost,10,6,0.7659585609131949,0.781852886485867,-0.01589432557267212,-134650.11836848367,-0.40934525453670934,-134649.70902322914,-0.298684934972302,0.5577608398678369,-0.8564457748401388
Lake Erie,MLP,10,6,0.8189554820617353,0.8025237949796938,0.016431687082041457,-377598.1115946559,-60418.17642746014,-317179.93516719574,-0.99608083462757,0.3733570294288713,-1.3694378640564413
Lake Erie,PLSR,1,7,0.730105085743238,0.730105085743238,0.0,-94992.32663858752,-102451.07333951417,7458.746700926655,-0.5253474296821916,-0.5253474296821916,0.0
Lake Erie,XGBoost,1,7,0.7833648373132309,0.7833648373132309,0.0,0.3227717176415644,-0.39136546872672207,0.7141371863682865,0.5587443133417185,0.558744314651729,-1.3100105444863175e-09
Lake Erie,MLP,1,7,0.8043243067530876,0.8043243067530876,0.0,-27558.350523503326,-58388.465871298096,30830.11534779477,0.3792697300627549,0.379269730062755,-1.1102230246251565e-16
Lake Erie,PLSR,3,7,0.7293593723347235,0.7293593723347235,0.0,-198444.49033965837,-102692.08663725285,-95752.40370240551,-1.1657287976812816,-0.5394252978085161,-0.6263034998727655
Lake Erie,XGBoost,3,7,0.7828358568439009,0.7828358568439009,0.0,-0.6164825280556914,-0.3928722859862417,-0.22361024206944968,0.5387737105560866,0.5545551223433689,-0.015781411787282318
Lake Erie,MLP,3,7,0.8035211671673103,0.8035211671673103,0.0,-96009.0194737671,-58526.45389407584,-37482.565579691254,0.26454981296712476,0.37262181531062855,-0.10807200234350378
Lake Erie,PLSR,5,7,0.5344677863499923,0.728118505518361,-0.19365071916836873,-40.967241004633195,-102757.17558918604,102716.2083481814,0.19721559638758646,-0.48439604356762156,0.681611639955208
Lake Erie,XGBoost,5,7,0.809706513464806,0.782094798093193,0.027611715371613,0.32868525695698403,-0.3359909681414026,0.6646762250983866,0.567176365133865,0.5594262145594598,0.007750150574405201
Lake Erie,MLP,5,7,0.8030390570939748,0.8034483908540656,-0.0004093337600907798,-16500.013609170546,-58569.3318698428,42069.318260672255,0.41084394063889873,0.37713082901944817,0.033713111619450564
Lake Erie,PLSR,10,7,0.44691965946174855,0.7254121595488648,-0.2784925000871163,-5.38981002580069,-102951.8434997906,102946.4536897648,-0.31907595196253946,-0.5451708424349322,0.22609489047239273
Lake Erie,XGBoost,10,7,0.8506937874678075,0.780455382570578,0.07023840489722954,-231.28381396346953,-0.3961672215096068,-230.8876467419599,0.5191487500348253,0.5536308496293435,-0.0344820995945182
Lake Erie,MLP,10,7,0.8459797169585458,0.8039768365650419,0.04200288039350386,-280847.0420319538,-58676.05964147188,-222170.98239048192,-0.1466436288396693,0.3738879813914805,-0.5205316102311498
Lake Erie,PLSR,1,8,0.7297574895926607,0.7297574895926607,0.0,-94692.50588899566,-102470.54001676715,7778.034127771491,-0.5280012347036462,-0.5280012347036465,2.220446049250313e-16
Lake Erie,XGBoost,1,8,0.7830331633723907,0.7830331633723907,0.0,-0.040710265918968425,-0.39145456688009705,0.35074430096112863,0.5578562935092598,0.5578562867037975,6.805462304804166e-09
Lake Erie,MLP,1,8,0.8041881790944518,0.8041881790944518,0.0,-27542.783946777727,-58399.56082102988,30856.776874252155,0.37818442756342197,0.37818442756342197,0.0
Lake Erie,PLSR,3,8,0.7297032122319961,0.7297032122319961,0.0,-112152.10923288862,-102637.68736973504,-9514.421863153577,-0.66281981369544,-0.5274591269842535,-0.1353606867111865
Lake Erie,XGBoost,3,8,0.7834564462102664,0.7834564462102664,0.0,0.06590216316496922,-0.3931715501899442,0.4590737133549134,0.5502853786338873,0.5592773958623161,-0.008992017228428795
Lake Erie,MLP,3,8,0.8040459025850681,0.8040459025850681,0.0,-93265.6195068715,-58495.47124742437,-34770.14825944713,0.31420846463947505,0.3788657426235129,-0.06465727798403786
Lake Erie,PLSR,5,8,0.7631810084091849,0.7323150902360238,0.03086591817316109,-1439.2108761006716,-102517.85054721891,101078.63967111825,0.24453674441677764,-0.5192624049871575,0.7637991494039351
Lake Erie,XGBoost,5,8,0.7638038761975318,0.7853839717701899,-0.021580095572658164,0.27031473300963527,-0.3897848384715572,0.6600995714811925,0.48003212047233523,0.561659907104163,-0.08162778663182779
