lake,learner,k,method,median_rer_log,median_mae_log,median_demeaned_spearman
Lake Jeleń,MLP,5,calibrated,0.26572561123814553,0.11058501583092105,0.582643689823794
Lake Jeleń,MLP,10,calibrated,0.2911489543818383,0.10410002619126045,0.5849396010625192
Lake Jeleń,PLSR,0,source_only,,0.5096649472383663,0.366666725185412
Lake Jeleń,PLSR,1,calibrated,0.06252855982896954,0.1425581606045355,0.3689509775622259
Lake Jeleń,PLSR,3,calibrated,0.09729576651710944,0.13301148050191186,0.36215992886879905
Lake Jeleń,PLSR,5,calibrated,0.18364298747283003,0.1212925917938087,0.4201162010788736
Lake Jeleń,PLSR,10,calibrated,0.2290523089884434,0.1127729195519105,0.5061303733744553
Lake Jeleń,XGBoost,0,source_only,,0.2067448189580579,0.6451978430843459
Lake Jeleń,XGBoost,1,calibrated,0.22511374503987755,0.1263724445998587,0.6326729791295915
Lake Jeleń,XGBoost,3,calibrated,0.1781457536886359,0.12378344028148144,0.6456002657755118
Lake Jeleń,XGBoost,5,calibrated,0.14491994689477933,0.1282548417446145,0.5950924725000537
Lake Jeleń,XGBoost,10,calibrated,0.15306087909391075,0.12489089875227141,0.5721778225611629
Lake Kasumigaura,MLP,0,source_only,,0.2052161868886655,0.5767671856091394
Lake Kasumigaura,MLP,1,calibrated,0.1193186897217143,0.1441752521129769,0.5770029238893619
Lake Kasumigaura,MLP,3,calibrated,0.16187356319166085,0.12041064687184386,0.5764679626850033
Lake Kasumigaura,MLP,5,calibrated,0.12980194278845092,0.12273948243873115,0.5440289257672823
Lake Kasumigaura,MLP,10,calibrated,0.1815983303663502,0.11756191627415691,0.6262179573816486
Lake Kasumigaura,PLSR,0,source_only,,0.3536122394526549,0.4030590476010448
Lake Kasumigaura,PLSR,1,calibrated,-0.14641683699341074,0.1856533408444044,0.403983389115978
Lake Kasumigaura,PLSR,3,calibrated,-0.06278293520219705,0.1568826914713049,0.4040475545169378
Lake Kasumigaura,PLSR,5,calibrated,-0.18139733471952418,0.1740181543340607,0.35508874537217416
Lake Kasumigaura,PLSR,10,calibrated,-0.08679567351882694,0.15307633244472746,0.4557866623420961
Lake Kasumigaura,XGBoost,0,source_only,,0.2025422938063115,0.6670733238307271
Lake Kasumigaura,XGBoost,1,calibrated,0.13480048572480224,0.14692055499785125,0.667176381557231
Lake Kasumigaura,XGBoost,3,calibrated,0.15572157053020969,0.119974043234202,0.6657355891768939
Lake Kasumigaura,XGBoost,5,calibrated,0.18086437202229494,0.1163675897142268,0.6615674909376261
Lake Kasumigaura,XGBoost,10,calibrated,0.2265644052623944,0.10728386774828516,0.7023709750331787
Lake Kummerow,MLP,0,source_only,,0.4903116840193603,0.5020536526979626
Lake Kummerow,MLP,1,calibrated,0.09490431861677984,0.3742686843084318,0.4986526238158978
