lake,learner,k,method,median_rer_log,median_mae_log,median_demeaned_spearman
Lake Geneva,MLP,10,calibrated,0.25509808537141443,0.1953088675204539,0.6484848484848483
Lake Geneva,PLSR,0,source_only,,0.6001240340907359,0.826937781123272
Lake Geneva,PLSR,1,calibrated,0.30866659432989335,0.2325156880777857,0.8244076926249755
Lake Geneva,PLSR,3,calibrated,0.31615709104458867,0.20805678292819002,0.8186274509803922
Lake Geneva,PLSR,5,calibrated,0.20862379038778173,0.22189863152238531,0.5701521490256695
Lake Geneva,PLSR,10,calibrated,0.25997143571147335,0.18674626148691034,0.776929111145932
Lake Geneva,XGBoost,0,source_only,,0.3544316814230938,0.3641836997849533
Lake Geneva,XGBoost,1,calibrated,-0.0275614689212504,0.3338745113228692,0.3791136828325801
Lake Geneva,XGBoost,3,calibrated,0.11567964366947085,0.2785503880301513,0.3631904574433318
Lake Geneva,XGBoost,5,calibrated,0.18277862319135485,0.22614307241899614,0.453083290840148
Lake Geneva,XGBoost,10,calibrated,0.21211219352032662,0.2079528376716499,0.6100133779006383
Lake Hume,MLP,0,source_only,,0.1313125572757507,0.8314015381569139
Lake Hume,MLP,1,calibrated,0.42795425085554584,0.1494456987552774,0.8291748791168313
Lake Hume,MLP,3,calibrated,0.46549624138532397,0.1339418516070216,0.8292840002977817
Lake Hume,MLP,5,calibrated,0.371610285223297,0.1614776659812172,0.8059291047643204
Lake Hume,MLP,10,calibrated,0.4664206545184566,0.123215911466,0.8390195900566733
Lake Hume,PLSR,0,source_only,,0.2054114408673949,0.6720656047514612
Lake Hume,PLSR,1,calibrated,0.16632245277671664,0.21086845755674,0.6685270339876893
Lake Hume,PLSR,3,calibrated,0.1912218745079767,0.19823761503406706,0.6673746664924071
Lake Hume,PLSR,5,calibrated,0.26603763277996484,0.1867495837236815,0.5467812443052549
Lake Hume,PLSR,10,calibrated,0.30473418051602763,0.16468644168409424,0.7939636933464048
Lake Hume,XGBoost,0,source_only,,0.1465990270787938,0.6286379583531516
Lake Hume,XGBoost,1,calibrated,0.30891781439488886,0.185618700943642,0.6245896294785949
Lake Hume,XGBoost,3,calibrated,0.34787053745928254,0.16286477525189058,0.6107607493751712
Lake Hume,XGBoost,5,calibrated,0.217481992600079,0.19135607481623765,0.5316881307363837
Lake Hume,XGBoost,10,calibrated,0.3689485899178766,0.14516883175679818,0.6457691882952346
Lake Jasień Południowy,MLP,0,source_only,,0.1183629391215185,0.7718802936194241
Lake Jasień Południowy,MLP,1,calibrated,0.3492981741935785,0.1558117985266748,0.7701298701298702
Lake Jasień Południowy,MLP,3,calibrated,0.3974756539485403,0.12213317491657255,0.7649122807017543
Lake Jasień Południowy,MLP,5,calibrated,0.3655410140523472,0.12619533921299636,0.6973039215686275
Lake Jasień Południowy,MLP,10,calibrated,0.36923160382215914,0.1235483315422306,0.7272727272727274
Lake Jasień Południowy,PLSR,0,source_only,,0.2811160394574216,0.5595708639186902
Lake Jasień Południowy,PLSR,1,calibrated,0.0793436597570419,0.208864970325439,0.5623376623376624
Lake Jasień Południowy,PLSR,3,calibrated,0.09855921873685244,0.1758013683927643,0.5473684210526315
Lake Jasień Południowy,PLSR,5,calibrated,0.0552436528272207,0.19071457050557156,0.3026960784313726
Lake Jasień Południowy,PLSR,10,calibrated,0.2890004805316594,0.1428435693330466,0.7272727272727274
Lake Jasień Południowy,XGBoost,0,source_only,,0.1297873379053465,0.7346132128740825
Lake Jasień Południowy,XGBoost,1,calibrated,0.3334659286846893,0.1554675501922481,0.7402597402597402
Lake Jasień Południowy,XGBoost,3,calibrated,0.3621987512615342,0.1244292103080179,0.719298245614035
Lake Jasień Południowy,XGBoost,5,calibrated,0.33228825745697405,0.1371905616341733,0.7561274509803922
Lake Jasień Południowy,XGBoost,10,calibrated,0.40067200910662315,0.1199148159746327,0.7727272727272728
Lake Jeleń,MLP,0,source_only,,0.2421305744529518,0.6723164914801855
Lake Jeleń,MLP,1,calibrated,0.16001523907880244,0.12958334349209086,0.666666807401513
Lake Jeleń,MLP,3,calibrated,0.19725310508822286,0.1197437015280742,0.6710556165604531
